Serial Number,Location,Bedrooms,Bathrooms,price(USD),Property Type,owner_id,Start Date,End Date,property_id,max,no_of_occupiers,seeker_id
1,"Heliopolis, El Nil Street, Building 901, Floor 5",2,3,3000,House,279,2024-03-01,2024-10-03,279,1,4,"[124, 560, 777, 900]"
2,"Dokki, Nile Corniche, Building 399, Floor 11",2,1,2000,House,859,2024-03-01,2025-01-31,859,1,1,[812]
3,"Heliopolis, Nile Corniche, Building 320, Floor 8",4,1,2800,House,21,2024-03-01,2025-02-19,21,3,4,"[709, 577, 378, 874]"
4,"Dokki, Pyramids Street, Building 697, Floor 7",1,3,3000,Room,26,2024-03-01,2024-11-17,26,2,0,
5,"Dokki, Nile Corniche, Building 539, Floor 8",4,3,2800,Room,751,2024-03-01,2024-09-15,751,2,0,
6,"Dokki, El Nil Street, Building 899, Floor 5",2,2,2000,Flat,42,2024-03-01,2024-06-23,42,3,0,
7,"Zamalek, Pyramids Street, Building 274, Floor 2",2,1,2000,Flat,497,2024-03-01,2024-12-13,497,2,0,
8,"Heliopolis, El Nil Street, Building 563, Floor 7",4,2,1800,Room,923,2024-03-01,2024-11-01,923,3,2,"[301, 480]"
9,"Zamalek, Sphinx Street, Building 601, Floor 1",4,3,1500,House,493,2024-03-01,2025-01-19,493,5,3,"[637, 789, 259]"
10,"Maadi, Nile Corniche, Building 29, Floor 12",2,3,2200,House,310,2024-03-01,2024-09-15,310,3,0,
11,"Mohandessin, Sphinx Street, Building 902, Floor 9",1,2,2000,Room,861,2024-03-01,2024-11-06,861,4,0,
12,"Dokki, Sphinx Street, Building 382, Floor 11",1,2,2500,House,692,2024-03-01,2024-07-15,692,3,3,"[677, 551, 723]"
13,"Heliopolis, Nile Corniche, Building 38, Floor 8",4,2,2000,Room,531,2024-03-01,2024-10-30,531,2,4,"[670, 39, 956, 583]"
14,"Maadi, Sphinx Street, Building 74, Floor 7",4,2,3000,House,473,2024-03-01,2024-11-30,473,2,3,"[156, 488, 117]"
15,"Mohandessin, El Nil Street, Building 653, Floor 10",2,3,2800,Flat,738,2024-03-01,2024-10-07,738,5,4,"[956, 436, 605, 335]"
16,"Zamalek, Pyramids Street, Building 576, Floor 3",3,1,2800,Room,413,2024-03-01,2024-09-04,413,4,1,[521]
17,"Maadi, Sphinx Street, Building 514, Floor 5",3,1,3000,House,481,2024-03-01,2024-09-10,481,1,3,"[842, 272, 879]"
18,"Zamalek, Pyramids Street, Building 793, Floor 1",1,2,2500,Room,560,2024-03-01,2024-10-01,560,1,4,"[568, 733, 782, 846]"
19,"Heliopolis, El Nil Street, Building 557, Floor 5",3,2,2200,Room,557,2024-03-01,2024-07-18,557,5,0,
20,"Mohandessin, Tahrir Street, Building 606, Floor 11",1,3,3000,Flat,936,2024-03-01,2024-07-05,936,2,4,"[441, 63, 484, 862]"
21,"Mohandessin, El Nil Street, Building 126, Floor 11",4,2,2200,Room,225,2024-03-01,2024-11-06,225,1,2,"[691, 293]"
22,"Zamalek, El Nil Street, Building 927, Floor 5",3,2,3000,Flat,472,2024-03-01,2024-08-21,472,4,3,"[439, 66, 856]"
23,"Mohandessin, Pyramids Street, Building 325, Floor 13",2,2,2200,Room,862,2024-03-01,2024-06-19,862,5,4,"[199, 994, 622, 981]"
24,"Zamalek, Pyramids Street, Building 376, Floor 9",3,2,2800,Flat,146,2024-03-01,2024-06-21,146,5,4,"[389, 149, 350, 200]"
25,"Maadi, El Nil Street, Building 264, Floor 12",1,2,1500,Flat,179,2024-03-01,2024-06-26,179,2,4,"[872, 543, 573, 676]"
26,"Heliopolis, Tahrir Street, Building 333, Floor 6",2,1,2000,House,637,2024-03-01,2024-08-01,637,3,3,"[662, 785, 35]"
27,"Mohandessin, Tahrir Street, Building 677, Floor 9",4,2,3000,House,84,2024-03-01,2024-06-13,84,4,4,"[444, 492, 233, 854]"
28,"Dokki, Sphinx Street, Building 955, Floor 11",4,1,2800,House,729,2024-03-01,2024-07-28,729,4,4,"[492, 10, 949, 861]"
29,"Heliopolis, El Nil Street, Building 333, Floor 8",1,2,2500,Room,674,2024-03-01,2024-12-04,674,3,0,
30,"Maadi, El Nil Street, Building 243, Floor 10",4,1,1800,Room,858,2024-03-01,2025-02-21,858,5,1,[971]
31,"Mohandessin, El Nil Street, Building 824, Floor 3",1,3,1800,Flat,629,2024-03-01,2024-11-16,629,2,1,[341]
32,"Maadi, Sphinx Street, Building 871, Floor 10",2,1,2800,House,582,2024-03-01,2024-08-18,582,1,4,"[183, 542, 914, 471]"
33,"Heliopolis, Nile Corniche, Building 514, Floor 13",4,1,1800,Room,890,2024-03-01,2024-11-28,890,4,4,"[169, 303, 261, 808]"
34,"Maadi, Pyramids Street, Building 191, Floor 7",3,2,2000,Room,71,2024-03-01,2024-06-29,71,2,0,
35,"Zamalek, Nile Corniche, Building 67, Floor 8",1,3,1800,House,522,2024-03-01,2024-11-29,522,4,2,"[484, 399]"
36,"Heliopolis, Nile Corniche, Building 595, Floor 4",2,3,1800,Room,99,2024-03-01,2025-01-14,99,4,2,"[36, 182]"
37,"Heliopolis, Sphinx Street, Building 895, Floor 9",2,1,2800,House,828,2024-03-01,2025-02-24,828,3,0,
38,"Maadi, Pyramids Street, Building 161, Floor 10",1,2,3000,Room,883,2024-03-01,2025-02-10,883,3,3,"[305, 438, 206]"
