hobbies_pastimes,sports_activities,cultural_artistic,intellectual_academic,user_id
Camping,Sailing,World music concerts,Computer programming hackathons,1
Playing guitar,Archery,Symphony orchestra performances,Climate change discussions,2
DIY projects,Soccer,World music concerts,Robotics competitions,3
Ceramics,Sailing,Renaissance art appreciation,Sociology conferences,4
Antiques collecting,Martial arts,Indigenous art experiences,Medical ethics debates,5
Camping,Running,Opera appreciation,Science fiction literature,6
DIY projects,Cycling,Sculpture gardens,Data analysis workshops,7
Calligraphy,Rock climbing,Pottery workshops,Cultural anthropology lectures,8
Stamp collecting,Soccer,Cultural festivals,Environmental sustainability workshops,9
Playing chess,Skiing,Film festivals,Economics forums,10
Coin collecting,Karate,Impressionist art appreciation,Physics lectures,11
DIY projects,Golf,Opera appreciation,Robotics competitions,12
Pottery,Rock climbing,Shakespearean plays,Political science forums,13
Scuba diving,Kickboxing,Opera,Political debates,14
Meditation,Snowboarding,Impressionist art appreciation,Educational technology conferences,15
Cycling,Tennis,Renaissance art appreciation,Academic publishing,16
Antiques collecting,Skiing,Street art tours,Political debates,17
Sewing,Ultimate Frisbee,Cultural festivals,Computer programming hackathons,18
Playing chess,Fencing,Stand-up comedy shows,Chemistry experiments,19
Cycling,Running,Art galleries,Bioinformatics symposiums,20
Reading,Skateboarding,Poetry readings,Computer programming hackathons,21
Writing,Skiing,Opera,Computer programming hackathons,22
"Model building (e.g., airplanes, ships)",Ballet,Street art tours,History lectures,23
Woodworking,Horseback riding,Live storytelling events,Scientific research,24
Meditation,Surfing,Renaissance art appreciation,Linguistics workshops,25
Coin collecting,Skateboarding,Film festivals,History lectures,26
Fishing,Triathlons,Street art tours,Ethical debates,27
Writing,Tennis,Art galleries,Archaeological digs,28
DIY projects,Hip-hop dance,Theater workshops,Mathematics competitions,29
Painting,Swimming,Poetry readings,Legal seminars,30
Baking,Rowing,Film analysis clubs,Economics forums,31
Birdwatching,Yoga,Film analysis clubs,Mathematics competitions,32
Photography,Skateboarding,Museums,Physics lectures,33
Writing,Gymnastics,Music concerts,Scientific research,34
Astronomy,Volleyball,Calligraphy classes,Science fiction literature,35
Reading,Golf,Stand-up comedy shows,Political science forums,36
Antiques collecting,Mountain biking,Poetry slams,Academic publishing,37
Calligraphy,Golf,Baroque music appreciation,History lectures,38
DIY projects,Yoga,World music concerts,Mathematics competitions,39
Camping,Cycling,Cultural festivals,Climate change discussions,40
Calligraphy,Kickboxing,Film festivals,Science fiction literature,41
Hiking,Swimming,Live storytelling events,Robotics competitions,42
Playing guitar,Archery,Sculpture gardens,Linguistics workshops,43
Fishing,Rock climbing,Classical music appreciation,Robotics competitions,44
Playing guitar,Judo,Poetry slams,Political debates,45
Playing guitar,Karate,Jazz clubs,Physics lectures,46
Calligraphy,Hip-hop dance,Film analysis clubs,Legal seminars,47
DIY projects,Archery,Jazz clubs,Psychology seminars,48
Camping,Volleyball,Pottery workshops,Mathematics competitions,49
Scuba diving,Archery,Jazz clubs,Political science forums,50
"Model building (e.g., airplanes, ships)",Gymnastics,Poetry readings,Political science forums,51
Pottery,Rowing,Calligraphy classes,Genetics research,52
Gardening,Rock climbing,Classical music appreciation,Psychology seminars,53
"Model building (e.g., airplanes, ships)",Running,Classical music appreciation,Political debates,54
Astronomy,Martial arts,Calligraphy classes,Computer programming hackathons,55
Sewing,Hip-hop dance,Baroque music appreciation,Physics lectures,56
Stamp collecting,Fencing,Classical music appreciation,Physics lectures,57
Scrapbooking,Fencing,Opera appreciation,Environmental sustainability workshops,58
Cycling,Karate,Museums,Political science forums,59
Fishing,Swimming,Classical music appreciation,Science fiction literature,60
Yoga,Rowing,Classical music appreciation,Linguistics workshops,61
Stamp collecting,Rock climbing,Theater workshops,Climate change discussions,62
Calligraphy,Kickboxing,Museums,Genetics research,63
Cooking,Martial arts,Live storytelling events,Cultural anthropology lectures,64
Yoga,Triathlons,Impressionist art appreciation,Literature appreciation groups,65
Gardening,Karate,Ballet,Astronomy clubs,66
Astronomy,Ultimate Frisbee,Film analysis clubs,Computer programming hackathons,67
Scuba diving,Karate,Museums,Ethical debates,68
Baking,Ballet,Classical music appreciation,History lectures,69
Pottery,Horseback riding,Theater,Cultural anthropology lectures,70
Coin collecting,Yoga,Photography exhibitions,Medical ethics debates,71
Astronomy,Sailing,Baroque music appreciation,Astronomy clubs,72
Scuba diving,Archery,Poetry readings,Ethical debates,73
Playing guitar,Judo,Baroque music appreciation,Philosophy discussions,74
Pottery,Yoga,Sculpture gardens,Legal seminars,75
Photography,Archery,Pottery workshops,Educational technology conferences,76
