Serial Number,Location,Bedrooms,Bathrooms,price(USD),Property Type,owner_id,Start Date,End Date,property_id,max,no_of_occupiers,seeker_id
1,"Heliopolis, El Nil Street, Building 901, Floor 5",2,3,3000,House,279,3/1/2024,10/3/2024,279,1,1,[21]
2,"Dokki, Nile Corniche, Building 399, Floor 11",2,1,2000,House,859,3/1/2024,1/31/2025,859,1,2,"[68, 254]"
3,"Heliopolis, Nile Corniche, Building 320, Floor 8",4,1,2800,House,21,3/1/2024,2/19/2025,21,3,3,"[438, 324, 683]"
4,"Dokki, Pyramids Street, Building 697, Floor 7",1,3,3000,Room,26,3/1/2024,11/17/2024,26,2,1,[143]
5,"Dokki, Nile Corniche, Building 539, Floor 8",4,3,2800,Room,751,3/1/2024,9/15/2024,751,2,3,"[620, 166, 199]"
6,"Dokki, El Nil Street, Building 899, Floor 5",2,2,2000,Flat,42,3/1/2024,6/23/2024,42,3,2,"[951, 757]"
7,"Zamalek, Pyramids Street, Building 274, Floor 2",2,1,2000,Flat,497,3/1/2024,12/13/2024,497,2,2,"[986, 164]"
8,"Heliopolis, El Nil Street, Building 563, Floor 7",4,2,1800,Room,923,3/1/2024,11/1/2024,923,3,1,[312]
9,"Zamalek, Sphinx Street, Building 601, Floor 1",4,3,1500,House,493,3/1/2024,1/19/2025,493,5,1,[22]
10,"Maadi, Nile Corniche, Building 29, Floor 12",2,3,2200,House,310,3/1/2024,9/15/2024,310,3,3,"[631, 439, 288]"
11,"Mohandessin, Sphinx Street, Building 902, Floor 9",1,2,2000,Room,861,3/1/2024,11/6/2024,861,4,4,"[932, 419, 848, 754]"
12,"Dokki, Sphinx Street, Building 382, Floor 11",1,2,2500,House,692,3/1/2024,7/15/2024,692,3,2,"[8, 900]"
13,"Heliopolis, Nile Corniche, Building 38, Floor 8",4,2,2000,Room,531,3/1/2024,10/30/2024,531,2,0,empty
14,"Maadi, Sphinx Street, Building 74, Floor 7",4,2,3000,House,473,3/1/2024,11/30/2024,473,2,1,[286]
15,"Mohandessin, El Nil Street, Building 653, Floor 10",2,3,2800,Flat,738,3/1/2024,10/7/2024,738,5,2,"[192, 384]"
16,"Zamalek, Pyramids Street, Building 576, Floor 3",3,1,2800,Room,413,3/1/2024,9/4/2024,413,4,1,[429]
17,"Maadi, Sphinx Street, Building 514, Floor 5",3,1,3000,House,481,3/1/2024,9/10/2024,481,1,1,[738]
18,"Zamalek, Pyramids Street, Building 793, Floor 1",1,2,2500,Room,560,3/1/2024,10/1/2024,560,1,1,[838]
19,"Heliopolis, El Nil Street, Building 557, Floor 5",3,2,2200,Room,557,3/1/2024,7/18/2024,557,5,0,empty
20,"Mohandessin, Tahrir Street, Building 606, Floor 11",1,3,3000,Flat,936,3/1/2024,7/5/2024,936,2,3,"[826, 89, 591]"
21,"Mohandessin, El Nil Street, Building 126, Floor 11",4,2,2200,Room,225,3/1/2024,11/6/2024,225,1,4,"[262, 772, 448, 891]"
22,"Zamalek, El Nil Street, Building 927, Floor 5",3,2,3000,Flat,472,3/1/2024,8/21/2024,472,4,0,empty
23,"Mohandessin, Pyramids Street, Building 325, Floor 13",2,2,2200,Room,862,3/1/2024,6/19/2024,862,5,3,"[166, 971, 599]"
24,"Zamalek, Pyramids Street, Building 376, Floor 9",3,2,2800,Flat,146,3/1/2024,6/21/2024,146,5,4,"[591, 465, 213, 850]"
25,"Maadi, El Nil Street, Building 264, Floor 12",1,2,1500,Flat,179,3/1/2024,6/26/2024,179,2,2,"[269, 774]"
26,"Heliopolis, Tahrir Street, Building 333, Floor 6",2,1,2000,House,637,3/1/2024,8/1/2024,637,3,0,empty
27,"Mohandessin, Tahrir Street, Building 677, Floor 9",4,2,3000,House,84,3/1/2024,6/13/2024,84,4,4,"[246, 307, 646, 874]"
28,"Dokki, Sphinx Street, Building 955, Floor 11",4,1,2800,House,729,3/1/2024,7/28/2024,729,4,2,"[879, 288]"
29,"Heliopolis, El Nil Street, Building 333, Floor 8",1,2,2500,Room,674,3/1/2024,12/4/2024,674,3,3,"[552, 793, 121]"
30,"Maadi, El Nil Street, Building 243, Floor 10",4,1,1800,Room,858,3/1/2024,2/21/2025,858,5,4,"[324, 652, 38, 678]"
31,"Mohandessin, El Nil Street, Building 824, Floor 3",1,3,1800,Flat,629,3/1/2024,11/16/2024,629,2,4,"[297, 598, 464, 875]"
32,"Maadi, Sphinx Street, Building 871, Floor 10",2,1,2800,House,582,3/1/2024,8/18/2024,582,1,3,"[286, 743, 367]"
33,"Heliopolis, Nile Corniche, Building 514, Floor 13",4,1,1800,Room,890,3/1/2024,11/28/2024,890,4,0,empty
34,"Maadi, Pyramids Street, Building 191, Floor 7",3,2,2000,Room,71,3/1/2024,6/29/2024,71,2,1,[627]
35,"Zamalek, Nile Corniche, Building 67, Floor 8",1,3,1800,House,522,3/1/2024,11/29/2024,522,4,3,"[979, 72, 514]"
36,"Heliopolis, Nile Corniche, Building 595, Floor 4",2,3,1800,Room,99,3/1/2024,1/14/2025,99,4,0,empty
37,"Heliopolis, Sphinx Street, Building 895, Floor 9",2,1,2800,House,828,3/1/2024,2/24/2025,828,3,3,"[745, 927, 721]"
38,"Maadi, Pyramids Street, Building 161, Floor 10",1,2,3000,Room,883,3/1/2024,2/10/2025,883,3,2,"[593, 326]"
39,"Heliopolis, Nile Corniche, Building 241, Floor 7",1,2,2000,House,237,3/1/2024,9/14/2024,237,5,0,empty
40,"Dokki, Pyramids Street, Building 491, Floor 12",2,3,3000,House,885,3/1/2024,7/18/2024,885,1,2,"[291, 269]"
41,"Mohandessin, Pyramids Street, Building 698, Floor 3",4,2,1500,Room,196,3/1/2024,6/20/2024,196,3,4,"[519, 102, 622, 555]"
42,"Mohandessin, Pyramids Street, Building 129, Floor 6",2,3,2000,House,255,3/1/2024,10/25/2024,255,3,4,"[530, 22, 136, 61]"
43,"Zamalek, Tahrir Street, Building 7, Floor 4",1,2,1800,Room,794,3/1/2024,9/6/2024,794,4,1,[380]
44,"Heliopolis, Nile Corniche, Building 288, Floor 13",2,3,3000,House,506,3/1/2024,1/17/2025,506,3,4,"[997, 836, 142, 987]"
45,"Zamalek, El Nil Street, Building 606, Floor 2",4,2,1500,Flat,122,3/1/2024,8/9/2024,122,3,4,"[414, 320, 983, 342]"
46,"Maadi, Tahrir Street, Building 509, Floor 11",2,1,1800,Flat,966,3/1/2024,7/13/2024,966,4,3,"[660, 483, 21]"
47,"Dokki, Pyramids Street, Building 953, Floor 6",1,1,2200,Room,795,3/1/2024,8/9/2024,795,1,4,"[443, 341, 132, 47]"
48,"Dokki, Nile Corniche, Building 332, Floor 3",4,2,1800,Flat,655,3/1/2024,8/8/2024,655,1,1,[95]
49,"Dokki, Nile Corniche, Building 865, Floor 3",3,1,1800,Flat,792,3/1/2024,6/10/2024,792,5,3,"[518, 745, 621]"
50,"Zamalek, Tahrir Street, Building 204, Floor 10",2,3,2500,House,689,3/1/2024,8/21/2024,689,4,2,"[319, 568]"
51,"Zamalek, El Nil Street, Building 776, Floor 2",4,1,2500,Flat,120,3/1/2024,10/7/2024,120,1,3,"[967, 211, 854]"
52,"Mohandessin, Tahrir Street, Building 796, Floor 11",1,3,2800,House,976,3/1/2024,2/16/2025,976,4,1,[780]
53,"Mohandessin, Pyramids Street, Building 727, Floor 3",2,2,3000,Room,320,3/1/2024,9/7/2024,320,1,3,"[978, 924, 490]"
54,"Zamalek, Pyramids Street, Building 646, Floor 8",4,2,2200,Flat,687,3/1/2024,11/18/2024,687,5,1,[196]
55,"Dokki, El Nil Street, Building 279, Floor 11",2,3,2800,Room,315,3/1/2024,5/30/2024,315,4,4,"[214, 912, 232, 761]"
56,"Mohandessin, Nile Corniche, Building 141, Floor 10",4,3,3000,House,68,3/1/2024,7/1/2024,68,3,1,[495]
57,"Maadi, Tahrir Street, Building 46, Floor 2",4,1,2000,Room,592,3/1/2024,5/30/2024,592,2,1,[860]
58,"Mohandessin, Pyramids Street, Building 788, Floor 2",4,2,1500,Room,29,3/1/2024,2/23/2025,29,5,3,"[938, 433, 107]"
59,"Heliopolis, Nile Corniche, Building 251, Floor 11",4,1,1500,House,669,3/1/2024,11/23/2024,669,2,3,"[215, 255, 300]"
60,"Dokki, Sphinx Street, Building 351, Floor 7",2,3,2200,Flat,824,3/1/2024,12/3/2024,824,3,0,empty
61,"Maadi, Sphinx Street, Building 592, Floor 1",4,2,1800,Flat,389,3/1/2024,11/10/2024,389,1,1,[634]
62,"Maadi, Sphinx Street, Building 905, Floor 11",1,3,2200,House,680,3/1/2024,6/28/2024,680,2,4,"[719, 243, 161, 225]"
63,"Heliopolis, Pyramids Street, Building 758, Floor 9",2,1,1500,Flat,947,3/1/2024,9/28/2024,947,1,1,[635]
64,"Maadi, Pyramids Street, Building 666, Floor 11",4,1,3000,Flat,728,3/1/2024,11/22/2024,728,3,2,"[165, 218]"
65,"Dokki, Sphinx Street, Building 81, Floor 2",4,1,2800,Flat,897,3/1/2024,11/17/2024,897,5,3,"[131, 835, 393]"
66,"Maadi, Nile Corniche, Building 837, Floor 6",1,1,1800,Room,339,3/1/2024,1/15/2025,339,4,1,[557]
67,"Zamalek, Nile Corniche, Building 755, Floor 5",2,3,2500,Room,239,3/1/2024,9/17/2024,239,4,2,"[473, 874]"
68,"Maadi, Sphinx Street, Building 15, Floor 12",2,2,1500,House,293,3/1/2024,9/7/2024,293,4,3,"[424, 598, 559]"
69,"Mohandessin, Tahrir Street, Building 369, Floor 7",3,2,2500,Room,37,3/1/2024,2/12/2025,37,5,1,[361]
70,"Dokki, Tahrir Street, Building 431, Floor 3",3,3,3000,Room,147,3/1/2024,2/17/2025,147,1,3,"[989, 529, 535]"
71,"Heliopolis, Tahrir Street, Building 583, Floor 10",4,1,3000,House,349,3/1/2024,7/1/2024,349,5,4,"[550, 912, 344, 939]"
72,"Heliopolis, Nile Corniche, Building 797, Floor 12",4,3,2500,Room,199,3/1/2024,7/23/2024,199,3,1,[816]
73,"Dokki, Pyramids Street, Building 149, Floor 6",4,1,2000,Room,480,3/1/2024,7/5/2024,480,1,0,empty
74,"Dokki, Nile Corniche, Building 906, Floor 7",4,3,2500,Room,422,3/1/2024,9/13/2024,422,4,1,[156]
75,"Heliopolis, Tahrir Street, Building 289, Floor 10",3,3,2500,House,3,3/1/2024,9/29/2024,3,4,0,empty
76,"Mohandessin, Sphinx Street, Building 379, Floor 12",2,2,3000,Flat,664,3/1/2024,6/6/2024,664,1,3,"[80, 984, 171]"
77,"Heliopolis, Sphinx Street, Building 420, Floor 10",3,3,3000,Room,822,3/1/2024,11/13/2024,822,3,3,"[534, 946, 341]"
78,"Maadi, Nile Corniche, Building 56, Floor 2",4,3,2500,Flat,798,3/1/2024,6/27/2024,798,2,2,"[943, 96]"
79,"Zamalek, Pyramids Street, Building 468, Floor 4",1,1,3000,House,409,3/1/2024,8/23/2024,409,5,0,empty
80,"Dokki, El Nil Street, Building 941, Floor 11",3,3,2500,Room,545,3/1/2024,9/19/2024,545,5,2,"[207, 664]"
81,"Dokki, El Nil Street, Building 577, Floor 1",1,2,3000,Room,261,3/1/2024,7/31/2024,261,2,0,empty
82,"Dokki, Sphinx Street, Building 311, Floor 1",3,1,2800,House,395,3/1/2024,7/1/2024,395,3,2,"[900, 466]"
83,"Zamalek, Sphinx Street, Building 457, Floor 13",1,2,3000,House,415,3/1/2024,6/14/2024,415,3,3,"[615, 983, 367]"
84,"Dokki, Pyramids Street, Building 197, Floor 6",1,2,1800,Room,171,3/1/2024,1/11/2025,171,4,1,[876]
85,"Maadi, El Nil Street, Building 993, Floor 7",3,1,2500,Room,820,3/1/2024,8/16/2024,820,4,1,[711]
86,"Mohandessin, Pyramids Street, Building 478, Floor 8",1,1,1500,House,711,3/1/2024,8/22/2024,711,3,0,empty
87,"Maadi, Sphinx Street, Building 493, Floor 8",4,2,1500,Room,219,3/1/2024,9/29/2024,219,3,0,empty
88,"Maadi, Sphinx Street, Building 131, Floor 3",2,1,2500,Room,571,3/1/2024,2/9/2025,571,4,1,[666]
89,"Mohandessin, Nile Corniche, Building 906, Floor 10",1,1,2200,Room,504,3/1/2024,6/11/2024,504,1,3,"[327, 35, 771]"
90,"Maadi, Tahrir Street, Building 898, Floor 2",4,2,2000,House,918,3/1/2024,7/13/2024,918,5,3,"[602, 163, 198]"
91,"Heliopolis, El Nil Street, Building 7, Floor 1",3,2,2500,House,271,3/1/2024,9/5/2024,271,2,4,"[488, 17, 665, 213]"
92,"Maadi, Tahrir Street, Building 478, Floor 9",3,2,2000,House,502,3/1/2024,6/10/2024,502,5,4,"[541, 586, 45, 937]"
93,"Dokki, El Nil Street, Building 427, Floor 10",3,1,1800,House,825,3/1/2024,6/7/2024,825,3,0,empty
94,"Maadi, Pyramids Street, Building 121, Floor 6",1,1,1800,House,250,3/1/2024,8/23/2024,250,1,4,"[336, 939, 4, 499]"
95,"Maadi, Nile Corniche, Building 990, Floor 7",4,3,3000,Room,50,3/1/2024,12/27/2024,50,3,3,"[459, 710, 379]"
96,"Heliopolis, Pyramids Street, Building 681, Floor 5",1,1,3000,Flat,847,3/1/2024,6/21/2024,847,1,4,"[554, 597, 91, 126]"
97,"Maadi, Sphinx Street, Building 739, Floor 3",2,3,2500,Flat,152,3/1/2024,12/1/2024,152,4,0,empty
98,"Zamalek, Pyramids Street, Building 841, Floor 10",3,1,1500,Room,206,3/1/2024,2/24/2025,206,1,3,"[598, 106, 300]"
99,"Heliopolis, Tahrir Street, Building 235, Floor 11",1,1,3000,Room,381,3/1/2024,2/13/2025,381,5,4,"[65, 236, 923, 330]"
100,"Dokki, El Nil Street, Building 2, Floor 3",1,2,2800,House,432,3/1/2024,10/11/2024,432,2,4,"[354, 44, 51, 550]"
101,"Heliopolis, Nile Corniche, Building 783, Floor 8",3,3,2800,Flat,776,3/1/2024,7/6/2024,776,3,1,[405]
102,"Mohandessin, Nile Corniche, Building 245, Floor 12",2,3,1800,Flat,988,3/1/2024,1/18/2025,988,5,4,"[697, 46, 611, 865]"
103,"Heliopolis, Tahrir Street, Building 223, Floor 9",2,3,3000,Flat,668,3/1/2024,11/21/2024,668,4,3,"[843, 972, 940]"
104,"Zamalek, Sphinx Street, Building 312, Floor 2",3,2,2000,Flat,775,3/1/2024,10/28/2024,775,4,0,empty
105,"Maadi, Pyramids Street, Building 448, Floor 10",1,1,1800,Room,270,3/1/2024,10/8/2024,270,2,3,"[296, 649, 469]"
106,"Mohandessin, Pyramids Street, Building 819, Floor 8",2,3,2500,Room,781,3/1/2024,11/19/2024,781,1,1,[321]
